id,name,domain,website,country
104,Universitas Lampung,unila.ac.id,http://www.unila.ac.id/,Indonesia
105,Universitas Lancang Kuning,unilak.ac.id,http://unilak.ac.id/,Indonesia
106,Universitas Negeri Manado,unima.ac.id,http://www.unima.ac.id/,Indonesia
107,Universitas Negeri Medan,unimed.ac.id,http://www.unimed.ac.id/,Indonesia
108,Universitas Islam Nusantara,uninus.ac.id,http://www.uninus.ac.id/,Indonesia
109,Universitas Pesantren Darul Ulum Jombang,unipdu.ac.id,http://www.unipdu.ac.id/,Indonesia
110,Universitas Madura,unira.ac.id,http://www.unira.ac.id/,Indonesia
111,Universitas Islam Bandung,unisba.ac.id,http://www.unisba.ac.id/,Indonesia
112,Universitas Islam Malang,unisma.ac.id,http://www.unisma.ac.id/,Indonesia
113,Universitas Muhammadiyah Makassar,unismuh.ac.id,http://www.unismuh.ac.id/,Indonesia
114,Universitas Slamet Riyadi Surakarta,unisri.ac.id,http://www.unisri.ac.id/,Indonesia
115,Universitas Islam Sultan Agung,unissula.ac.id,http://www.unissula.ac.id/,Indonesia
116,Universitas Islam Syekh-Yusuf,unistangerang.ac.id,http://www.unistangerang.ac.id/,Indonesia
117,Unitomo Surabaya,unitomo.ac.id,http://www.unitomo.ac.id/,Indonesia
118,Universitas Trilogi,universitas-trilogi.ac.id,http://www.universitas-trilogi.ac.id/,Indonesia
119,Universitas Trunojoyo Madura,trunojoyo.ac.id,http://www.trunojoyo.ac.id/,Indonesia
120,Universitas Pancasila,univpancasila.ac.id,http://www.univpancasila.ac.id/,Indonesia
121,Universitas PGRI Adi Buana Surabaya,unipasby.ac.id,http://www.unipasby.ac.id/,Indonesia
122,Universitas Jambi,unja.ac.id,http://www.unja.ac.id/,Indonesia
123,Universitas Negeri Jakarta,unj.ac.id,http://www.unj.ac.id/,Indonesia
124,Universitas Jenderal Achmad Yani,unjani.ac.id,http://www.unjani.ac.id/,Indonesia
125,Universitas Khairun,unkhair.ac.id,http://www.unkhair.ac.id/,Indonesia
126,Universitas Krisnadwipayana,unkris.ac.id,http://www.unkris.ac.id/,Indonesia
127,Universitas Lambung Mangkurat,unlam.ac.id,http://www.unlam.ac.id/,Indonesia
128,Universitas Negeri Makassar,unm.ac.id,http://www.unm.ac.id/,Indonesia
129,Universitas Mahasaraswati Denpasar,unmas.org,http://www.unmas.org/,Indonesia
130,Universitas Merdeka Malang,unmer.ac.id,http://www.unmer.ac.id/,Indonesia
131,Universitas Merdeka Madiun,unmer-madiun.ac.id,http://www.unmer-madiun.ac.id/,Indonesia
132,Universitas Muhammadiyah Jember,unmuhjember.ac.id,http://www.unmuhjember.ac.id/,Indonesia
133,Universitas Muhammadiyah Mataram,unmuhmataram.com,http://www.unmuhmataram.com/,Indonesia
134,Universitas Mulawarman,unmul.ac.id,http://www.unmul.ac.id/,Indonesia
135,STMIK Widya Cipta Dharma,wicida.ac.id,http://www.wicida.ac.id/,Indonesia
136,Universitas Negeri Semarang,unnes.ac.id,http://www.unnes.ac.id/,Indonesia
137,Universitas Negeri Padang,unp.ac.id,http://www.unp.ac.id/,Indonesia
138,Universitas Padjadjaran,unpad.ac.id,http://www.unpad.ac.id/,Indonesia
139,Universitas Pakuan,unpak.ac.id,http://www.unpak.ac.id/,Indonesia
140,Universitas Katolik Parahyangan,unpar.ac.id,http://www.unpar.ac.id/,Indonesia
141,Universitas Pasundan,unpas.ac.id,http://www.unpas.ac.id/,Indonesia
142,Universitas Pattimura,unpatti.ac.id,http://www.unpatti.ac.id/,Indonesia
143,Universitas Ngurah Rai,unr.ac.id,http://www.unr.ac.id/,Indonesia
144,Universitas Mataram,unram.ac.id,http://www.unram.ac.id/,Indonesia
145,Universitas Riau,unri.ac.id,http://www.unri.ac.id/,Indonesia
146,Universitas Sebelas Maret,uns.ac.id,http://www.uns.ac.id/,Indonesia
147,Universitas Darma Persada,unsada.ac.id,http://www.unsada.ac.id/,Indonesia
148,Universitas Siliwangi,unsil.ac.id,http://www.unsil.ac.id/,Indonesia
149,Universitas Jenderal Soedirman,unsoed.ac.id,http://www.unsoed.ac.id/,Indonesia
