state-province,domains,country,alpha_two_code,name,web_pages
,['unismuh.ac.id'],Indonesia,ID,Universitas Muhammadiyah Makassar,['http://www.unismuh.ac.id/']
,['unisri.ac.id'],Indonesia,ID,Universitas Slamet Riyadi Surakarta,['http://www.unisri.ac.id/']
,['unissula.ac.id'],Indonesia,ID,Universitas Islam Sultan Agung,['http://www.unissula.ac.id/']
,['unistangerang.ac.id'],Indonesia,ID,Universitas Islam Syekh-Yusuf,['http://www.unistangerang.ac.id/']
,['unitomo.ac.id'],Indonesia,ID,Unitomo Surabaya,['http://www.unitomo.ac.id/']
,['universitas-trilogi.ac.id'],Indonesia,ID,Universitas Trilogi,['http://www.universitas-trilogi.ac.id/']
,['trunojoyo.ac.id'],Indonesia,ID,Universitas Trunojoyo Madura,['http://www.trunojoyo.ac.id/']
,['univpancasila.ac.id'],Indonesia,ID,Universitas Pancasila,['http://www.univpancasila.ac.id/']
,['unipasby.ac.id'],Indonesia,ID,Universitas PGRI Adi Buana Surabaya,['http://www.unipasby.ac.id/']
,['unja.ac.id'],Indonesia,ID,Universitas Jambi,['http://www.unja.ac.id/']
,['unj.ac.id'],Indonesia,ID,Universitas Negeri Jakarta,['http://www.unj.ac.id/']
,['unjani.ac.id'],Indonesia,ID,Universitas Jenderal Achmad Yani,['http://www.unjani.ac.id/']
,['unkhair.ac.id'],Indonesia,ID,Universitas Khairun,['http://www.unkhair.ac.id/']
,['unkris.ac.id'],Indonesia,ID,Universitas Krisnadwipayana,['http://www.unkris.ac.id/']
,['unlam.ac.id'],Indonesia,ID,Universitas Lambung Mangkurat,['http://www.unlam.ac.id/']
,['unm.ac.id'],Indonesia,ID,Universitas Negeri Makassar,['http://www.unm.ac.id/']
,['unmas.org'],Indonesia,ID,Universitas Mahasaraswati Denpasar,['http://www.unmas.org/']
,['unmer.ac.id'],Indonesia,ID,Universitas Merdeka Malang,['http://www.unmer.ac.id/']
,['unmer-madiun.ac.id'],Indonesia,ID,Universitas Merdeka Madiun,['http://www.unmer-madiun.ac.id/']
,['unmuhjember.ac.id'],Indonesia,ID,Universitas Muhammadiyah Jember,['http://www.unmuhjember.ac.id/']
,['unmuhmataram.com'],Indonesia,ID,Universitas Muhammadiyah Mataram,['http://www.unmuhmataram.com/']
,['unmul.ac.id'],Indonesia,ID,Universitas Mulawarman,['http://www.unmul.ac.id/']
,['wicida.ac.id'],Indonesia,ID,STMIK Widya Cipta Dharma,['http://www.wicida.ac.id/']
,['unnes.ac.id'],Indonesia,ID,Universitas Negeri Semarang,['http://www.unnes.ac.id/']
,['unp.ac.id'],Indonesia,ID,Universitas Negeri Padang,['http://www.unp.ac.id/']
,['unpad.ac.id'],Indonesia,ID,Universitas Padjadjaran,['http://www.unpad.ac.id/']
,['unpak.ac.id'],Indonesia,ID,Universitas Pakuan,['http://www.unpak.ac.id/']
,['unpar.ac.id'],Indonesia,ID,Universitas Katolik Parahyangan,['http://www.unpar.ac.id/']
,['unpas.ac.id'],Indonesia,ID,Universitas Pasundan,['http://www.unpas.ac.id/']
,['unpatti.ac.id'],Indonesia,ID,Universitas Pattimura,['http://www.unpatti.ac.id/']
,['unr.ac.id'],Indonesia,ID,Universitas Ngurah Rai,['http://www.unr.ac.id/']
,['unram.ac.id'],Indonesia,ID,Universitas Mataram,['http://www.unram.ac.id/']
,['unri.ac.id'],Indonesia,ID,Universitas Riau,['http://www.unri.ac.id/']
,['uns.ac.id'],Indonesia,ID,Universitas Sebelas Maret,['http://www.uns.ac.id/']
,['unsada.ac.id'],Indonesia,ID,Universitas Darma Persada,['http://www.unsada.ac.id/']
,['unsil.ac.id'],Indonesia,ID,Universitas Siliwangi,['http://www.unsil.ac.id/']
,['unsoed.ac.id'],Indonesia,ID,Universitas Jenderal Soedirman,['http://www.unsoed.ac.id/']
,['unsrat.ac.id'],Indonesia,ID,Universitas Sam Ratulangi,['http://www.unsrat.ac.id/']
,['unsri.ac.id'],Indonesia,ID,Universitas Sriwijaya,['http://www.unsri.ac.id/']
