name,domain,website,country,created_at
Universitas Muhammadiyah Magelang,ummgl.ac.id,http://www.ummgl.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Sidoarjo,umsida.ac.id,http://www.umsida.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Surakarta,ums.ac.id,http://www.ums.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Sumatra Utara,umsu.ac.id,http://www.umsu.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Yogyakarta,umy.ac.id,http://www.umy.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Advent Indonesia,unai.edu,http://www.unai.edu/,Indonesia,2024-09-08 21:12:57.011106
Universitas Airlangga,unair.ac.id,http://www.unair.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Andalas,unand.ac.id,http://www.unand.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Nasional Jakarta,unas.ac.id,http://www.unas.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Cenderawasih,uncen.ac.id,http://www.uncen.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Nusa Cendana,undana.ac.id,http://www.undana.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Diponegoro,undip.ac.id,http://www.undip.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Jember,unej.ac.id,http://www.unej.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Surabaya,unesa.ac.id,http://www.unesa.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Gorontalo,ung.ac.id,http://www.ung.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Haluoleo,unhalu.ac.id,http://www.unhalu.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Amir Hamzah,unhamzah.ac.id,http://www.unhamzah.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Hasanuddin,unhas.ac.id,http://www.unhas.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Bengkulu,unib.ac.id,http://www.unib.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Bojonegoro,unigoro.ac.id,http://www.unigoro.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Katolik Soegijapranoto,unika.ac.id,http://www.unika.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pekalongan,unikal.ac.id,http://www.unikal.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Kediri,unik-kediri.ac.id,http://www.unik-kediri.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Komputer Indonesia,unikom.ac.id,http://www.unikom.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Lampung,unila.ac.id,http://www.unila.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Lancang Kuning,unilak.ac.id,http://unilak.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Manado,unima.ac.id,http://www.unima.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Medan,unimed.ac.id,http://www.unimed.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Nusantara,uninus.ac.id,http://www.uninus.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pesantren Darul Ulum Jombang,unipdu.ac.id,http://www.unipdu.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Madura,unira.ac.id,http://www.unira.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Bandung,unisba.ac.id,http://www.unisba.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Malang,unisma.ac.id,http://www.unisma.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Muhammadiyah Makassar,unismuh.ac.id,http://www.unismuh.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Slamet Riyadi Surakarta,unisri.ac.id,http://www.unisri.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Sultan Agung,unissula.ac.id,http://www.unissula.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Islam Syekh-Yusuf,unistangerang.ac.id,http://www.unistangerang.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Unitomo Surabaya,unitomo.ac.id,http://www.unitomo.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Trilogi,universitas-trilogi.ac.id,http://www.universitas-trilogi.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Trunojoyo Madura,trunojoyo.ac.id,http://www.trunojoyo.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pancasila,univpancasila.ac.id,http://www.univpancasila.ac.id/,Indonesia,2024-09-08 21:12:57.011106
